title,Nodes,Edges,density
network_0_T14423.txt,175198,859146,5.5981065314700004e-05
network_1_T14423.txt,6269,14046,0.000714916634286905
network_2_T14423.txt,2488,9597,0.003101982398504377
network_3_T14423.txt,391,628,0.008236605679060921
network_4_T14423.txt,364,789,0.01194260285169376
network_5_T14423.txt,344,1035,0.017543562275408504
network_6_T14423.txt,205,408,0.01951219512195122
network_7_T14423.txt,188,853,0.048526567300034136
network_8_T14423.txt,186,2021,0.11746585294972392
network_9_T14423.txt,179,300,0.018831209591362752
network_10_T14423.txt,171,604,0.041554867561059514
network_11_T14423.txt,159,1904,0.15158028819361516
network_12_T14423.txt,158,693,0.05587357897282916
network_13_T14423.txt,156,1317,0.10893300248138958
network_14_T14423.txt,156,2798,0.2314309346567411
network_15_T14423.txt,151,312,0.027549668874172185
network_16_T14423.txt,151,607,0.05359823399558499
network_17_T14423.txt,149,504,0.04571013966987121
network_18_T14423.txt,148,945,0.08687258687258688
network_19_T14423.txt,145,1129,0.10814176245210728
network_20_T14423.txt,144,466,0.045260295260295264
network_21_T14423.txt,137,567,0.06086303134392443
network_22_T14423.txt,135,464,0.051299060254284136
network_23_T14423.txt,129,640,0.07751937984496124
network_24_T14423.txt,125,264,0.03406451612903226
network_25_T14423.txt,118,6579,0.9530638852672751
network_26_T14423.txt,114,410,0.06365471200124204
network_27_T14423.txt,114,300,0.04657661853749418
network_28_T14423.txt,112,530,0.08526383526383527
network_29_T14423.txt,108,1938,0.3354101765316719
network_30_T14423.txt,106,496,0.08912848158131177
network_31_T14423.txt,105,2042,0.373992673992674
network_32_T14423.txt,104,168,0.03136669156086632
network_33_T14423.txt,102,4758,0.9237041351193943
network_34_T14423.txt,102,466,0.0904678703164434
network_35_T14423.txt,101,301,0.0596039603960396
network_36_T14423.txt,100,441,0.0890909090909091
network_37_T14423.txt,100,4950,1.0
network_38_T14423.txt,99,1066,0.21974850546279118
network_39_T14423.txt,99,4851,1.0
network_40_T14423.txt,97,276,0.059278350515463915
network_41_T14423.txt,95,353,0.07905935050391938
network_42_T14423.txt,94,357,0.08167467398764584
network_43_T14423.txt,93,406,0.0949041608228144
network_44_T14423.txt,93,220,0.051425899953249185
network_45_T14423.txt,93,1714,0.4006545114539504
network_46_T14423.txt,92,345,0.08241758241758242
network_47_T14423.txt,91,215,0.052503052503052504
network_48_T14423.txt,91,253,0.061782661782661785
network_49_T14423.txt,90,1058,0.2641697877652934
