title,Nodes,Edges,density
network_0_T13370.txt,1932,51642,0.027684944240907585
network_1_T13370.txt,650,28842,0.13674054758800522
network_2_T13370.txt,515,23303,0.17606437233198594
network_3_T13370.txt,477,2999,0.02641685605059634
network_4_T13370.txt,449,21172,0.2105074769328667
network_5_T13370.txt,411,16994,0.20169722865111864
network_6_T13370.txt,260,11131,0.33059103059103057
network_7_T13370.txt,232,10353,0.38636363636363635
network_8_T13370.txt,189,8870,0.49926826522571205
network_9_T13370.txt,145,3161,0.30277777777777776
network_10_T13370.txt,140,4449,0.45724563206577595
network_11_T13370.txt,138,4771,0.5047075002644663
network_12_T13370.txt,128,5286,0.6503444881889764
network_13_T13370.txt,127,2771,0.34633170853643297
network_14_T13370.txt,127,3659,0.45731783527059117
network_15_T13370.txt,123,2445,0.3258696521391443
network_16_T13370.txt,115,5002,0.7630816170861937
network_17_T13370.txt,113,4221,0.6670353982300885
network_18_T13370.txt,103,4588,0.8734056729487911
network_19_T13370.txt,102,737,0.1430790137837313
network_20_T13370.txt,102,2783,0.5402834401087168
network_21_T13370.txt,100,4950,1.0
network_22_T13370.txt,100,4950,1.0
network_23_T13370.txt,100,4950,1.0
network_24_T13370.txt,100,4950,1.0
network_25_T13370.txt,100,4950,1.0
network_26_T13370.txt,100,4950,1.0
network_27_T13370.txt,100,4950,1.0
network_28_T13370.txt,100,4950,1.0
network_29_T13370.txt,100,4950,1.0
network_30_T13370.txt,100,4950,1.0
network_31_T13370.txt,100,4950,1.0
network_32_T13370.txt,99,4851,1.0
network_33_T13370.txt,99,4851,1.0
network_34_T13370.txt,98,4753,1.0
network_35_T13370.txt,96,4560,1.0
network_36_T13370.txt,95,3183,0.7128779395296753
network_37_T13370.txt,94,4371,1.0
network_38_T13370.txt,94,4371,1.0
network_39_T13370.txt,92,2128,0.5083612040133779
network_40_T13370.txt,92,2928,0.6994744386048733
network_41_T13370.txt,88,3828,1.0
network_42_T13370.txt,86,3493,0.9556771545827634
network_43_T13370.txt,85,3487,0.976750700280112
network_44_T13370.txt,81,3240,1.0
network_45_T13370.txt,76,2850,1.0
network_46_T13370.txt,72,2540,0.9937402190923318
network_47_T13370.txt,72,2288,0.8951486697965572
network_48_T13370.txt,71,2485,1.0
network_49_T13370.txt,69,1081,0.46078431372549017
