vax_infected,DegreeTargeted,BetweennessTargeted,PageRankTargeted,NoVaccination,RandomVaccination
0.05,358.4,167.76666666666668,157.56666666666666,1183.5,1046.1
0.1,226.1,184.83333333333334,141.83333333333334,1157.5333333333333,1085.5333333333333
0.15000000000000002,235.33333333333334,189.4,134.76666666666668,1164.8,1085.9666666666667
0.2,288.2,86.53333333333333,178.83333333333334,1127.1333333333334,931.5333333333333
0.25,295.96666666666664,152.3,159.33333333333334,1162.9333333333334,1014.7
0.3,298.1333333333333,128.56666666666666,155.96666666666667,1147.6,1013.4333333333333
0.35000000000000003,367.8,208.03333333333333,228.73333333333332,1207.1666666666667,1093.8333333333333
0.4,398.4,202.73333333333332,116.2,1168.6666666666667,1041.9666666666667
0.45,334.7,120.83333333333333,162.13333333333333,1163.3333333333333,1041.4333333333334
0.5,264.6333333333333,136.46666666666667,179.53333333333333,1167.0,1084.6333333333334
