vax_infected,DegreeTargeted,BetweennessTargeted,PageRankTargeted,NoVaccination,RandomVaccination
0.05,261.53333333333336,168.3,142.53333333333333,1176.0666666666666,1068.7333333333333
0.1,247.66666666666666,174.23333333333332,177.6,1143.0,1026.3
0.15000000000000002,241.83333333333334,205.93333333333334,155.03333333333333,1142.9333333333334,1056.6
0.2,230.83333333333334,128.23333333333332,167.66666666666666,1197.3,1024.3
0.25,295.1333333333333,112.8,148.63333333333333,1135.0,1041.2666666666667
0.3,376.3666666666667,135.86666666666667,164.83333333333334,1178.9666666666667,1039.9333333333334
0.35000000000000003,286.3333333333333,138.2,150.16666666666666,1165.4333333333334,1039.3666666666666
0.4,246.1,191.1,193.56666666666666,1170.8666666666666,1111.4
0.45,192.53333333333333,130.66666666666666,130.1,1151.2333333333333,1052.7333333333333
0.5,303.73333333333335,147.3,154.2,1179.3666666666666,1025.2666666666667
