vax_infected,DegreeTargeted,BetweennessTargeted,PageRankTargeted,NoVaccination,RandomVaccination
0.05,308.3333333333333,157.26666666666668,120.7,1191.5333333333333,1016.8
0.1,277.3,148.03333333333333,182.33333333333334,1163.4666666666667,988.8333333333334
0.15000000000000002,295.2,107.43333333333334,170.5,1153.6333333333334,1054.8
0.2,208.76666666666668,146.43333333333334,155.13333333333333,1172.5333333333333,1049.9666666666667
0.25,230.5,164.23333333333332,154.26666666666668,1162.4,1038.9666666666667
0.3,200.53333333333333,174.86666666666667,190.5,1160.7,1015.2333333333333
0.35000000000000003,322.7,143.2,115.63333333333334,1180.6,1045.7333333333333
0.4,315.4,178.3,173.1,1179.8333333333333,1025.3
0.45,297.56666666666666,109.6,141.26666666666668,1125.1,1008.7666666666667
0.5,285.03333333333336,131.3,169.76666666666668,1161.4666666666667,1026.7333333333333
