vax_infected,DegreeTargeted,BetweennessTargeted,PageRankTargeted,NoVaccination,RandomVaccination
0.05,278.8,228.96666666666667,180.06666666666666,1191.2666666666667,1037.2333333333333
0.1,300.3666666666667,177.53333333333333,169.06666666666666,1159.0,1011.1666666666666
0.15000000000000002,278.2,231.56666666666666,156.06666666666666,1177.4,1030.2666666666667
0.2,260.0,208.23333333333332,151.2,1154.9333333333334,1033.8666666666666
0.25,300.6666666666667,135.73333333333332,184.0,1185.0666666666666,1044.0
0.3,277.0,198.53333333333333,156.4,1172.9333333333334,995.9333333333333
0.35000000000000003,303.03333333333336,129.66666666666666,140.0,1183.7,965.4666666666667
0.4,240.73333333333332,133.33333333333334,126.26666666666667,1197.6666666666667,926.5
0.45,298.3,107.23333333333333,114.7,1167.1,1035.4666666666667
0.5,343.7,145.06666666666666,136.76666666666668,1175.5333333333333,1019.0666666666667
