vax_infected,DegreeTargeted,BetweennessTargeted,PageRankTargeted,NoVaccination,RandomVaccination
0.05,279.03333333333336,145.4,108.6,1197.4333333333334,1038.5
0.1,290.0,130.56666666666666,128.7,1138.7,1052.3
0.15000000000000002,233.9,165.3,159.26666666666668,1166.4333333333334,1001.0666666666667
0.2,310.46666666666664,165.3,103.63333333333334,1172.8333333333333,1065.3
0.25,279.3666666666667,121.7,137.26666666666668,1174.0666666666666,975.3666666666667
0.3,262.26666666666665,107.4,135.93333333333334,1174.8666666666666,1036.6333333333334
0.35000000000000003,334.23333333333335,97.66666666666667,146.13333333333333,1112.3666666666666,1063.1333333333334
0.4,372.26666666666665,147.93333333333334,200.86666666666667,1157.8333333333333,975.9666666666667
0.45,266.96666666666664,193.83333333333334,116.7,1157.8333333333333,1040.4666666666667
0.5,284.5,98.0,142.83333333333334,1174.1333333333334,1009.0333333333333
