vax_infected,DegreeTargeted,BetweennessTargeted,PageRankTargeted,NoVaccination,RandomVaccination
0.05,273.3666666666667,142.73333333333332,146.1,1186.5333333333333,1058.6333333333334
0.1,302.7,142.33333333333334,165.23333333333332,1163.8666666666666,1056.2333333333333
0.15000000000000002,310.8,133.73333333333332,127.53333333333333,1198.6666666666667,1030.3
0.2,293.6666666666667,124.23333333333333,175.96666666666667,1182.5,1013.1333333333333
0.25,367.7,210.26666666666668,202.16666666666666,1172.4666666666667,1084.3333333333333
0.3,225.33333333333334,91.2,115.13333333333334,1180.6333333333334,979.9666666666667
0.35000000000000003,258.9,118.43333333333334,133.2,1149.0333333333333,991.4
0.4,250.46666666666667,98.9,112.33333333333333,1144.4333333333334,1011.8
0.45,246.23333333333332,133.6,178.93333333333334,1179.2,1047.9
0.5,280.56666666666666,136.83333333333334,178.16666666666666,1127.7666666666667,1026.8333333333333
