vax_infected,DegreeTargeted,BetweennessTargeted,PageRankTargeted,NoVaccination,RandomVaccination
0.05,298.6,110.46666666666667,150.9,1162.0,1059.5
0.1,283.06666666666666,110.36666666666666,128.8,1150.7666666666667,1000.4
0.15000000000000002,254.93333333333334,147.9,149.3,1150.4666666666667,1067.4333333333334
0.2,225.83333333333334,207.23333333333332,135.56666666666666,1164.9666666666667,1044.2666666666667
0.25,273.76666666666665,123.56666666666666,161.53333333333333,1168.4333333333334,1029.0666666666666
0.3,253.3,164.2,170.3,1170.4333333333334,1060.2
0.35000000000000003,399.0,152.2,152.73333333333332,1122.5666666666666,1022.5
0.4,335.0,128.06666666666666,180.83333333333334,1166.9666666666667,1053.1
0.45,223.36666666666667,159.93333333333334,155.86666666666667,1166.2666666666667,1060.6333333333334
0.5,263.8333333333333,131.63333333333333,181.93333333333334,1149.3333333333333,1025.5333333333333
