vax_infected,DegreeTargeted,BetweennessTargeted,PageRankTargeted,NoVaccination,RandomVaccination
0.05,330.23333333333335,172.23333333333332,136.53333333333333,1183.7666666666667,1091.2333333333333
0.1,336.6333333333333,161.16666666666666,204.73333333333332,1145.6333333333334,1026.2333333333333
0.15000000000000002,218.03333333333333,140.43333333333334,177.66666666666666,1180.4,1017.4666666666667
0.2,270.9,169.53333333333333,207.86666666666667,1159.2333333333333,979.3
0.25,298.9,127.16666666666667,202.83333333333334,1186.3,1031.3
0.3,326.43333333333334,141.0,117.46666666666667,1148.7,1034.1
0.35000000000000003,324.96666666666664,194.83333333333334,168.03333333333333,1097.0,1023.6
0.4,323.73333333333335,157.53333333333333,169.1,1188.4666666666667,982.5333333333333
0.45,366.03333333333336,142.63333333333333,192.66666666666666,1172.6333333333334,1022.4666666666667
0.5,267.6,169.4,161.3,1173.5333333333333,1051.8333333333333
